City/Town,Pin Code,District,State,Country
Ahmednagar Pin Code,414001,Ahmednagar,Maharashtra,India
Akola Pin Code,444001,Akola,Maharashtra,India
Amravati Pin Code,444601,Amravati,Maharashtra,India
Aurangabad Pin Code,431001,Aurangabad,Maharashtra,India
Bhayander West Pin Code,401101,Thane,Maharashtra,India
Bhiwandi Pin Code,421308,Thane,Maharashtra,India
Chandrapur Pin Code,442401,Chandrapur,Maharashtra,India
Dhule Pin Code,424001,Dhule,Maharashtra,India
Dombivali Pin Code,421201,Thane,Maharashtra,India
Ichalkaranji Pin Code,416115,Kolhapur,Maharashtra,India
Jalgaon Pin Code,425001,Jalgaon,Maharashtra,India
Kalyan City Pin Code,421301,Thane,Maharashtra,India
Kolhapur Pin Code,416003,Kolhapur,Maharashtra,India
Latur Pin Code,413512,Latur,Maharashtra,India
Malegaon Pin Code,423203,Nashik,Maharashtra,India
Mira Pin Code,401107,Thane,Maharashtra,India
Mumbai Pin Code,400001,Mumbai,Maharashtra,India
Nagpur Pin Code,440001,Nagpur,Maharashtra,India
Nanded Pin Code,431601,Nanded,Maharashtra,India
Nashik Pin Code,422001,Nashik,Maharashtra,India
Parbhani Pin Code,431401,Parbhani,Maharashtra,India
Pimpri Pin Code,412303,Pune,Maharashtra,India
Pune Pin Code,411001,Pune,Maharashtra,India
Sangli Pin Code,416416,Sangli,Maharashtra,India
Solapur Pin Code,413001,Solapur,Maharashtra,India
Thane Pin Code,400601,Thane,Maharashtra,India
Ulhasnagar Pin Code,421002,Thane,Maharashtra,India
Vasai East IE Pin Code,401208,Palghar,Maharashtra,India
Virar Pin Code,401303,Palghar,Maharashtra,India
Pune Pin Code,411003,Pune,Maharashtra,India
